,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,4541441949571611,5290666508,20年08月24日 13:48,穷则独善其身，达则兼济天下。,4541443965717242,1,0,穷则独善其身，达则兼济天下。,6171156032,OK美丽小阿姨,https://weibo.com/u/6171156032,时刻美丽绽放,广东,f,275128,2234,12469,"143,074","12,649","149,391","305,114",
1,4541441949571611,5290666508,20年08月24日 13:47,每天都要笑一笑，长命百岁。,4541443899665458,1,0,每天都要笑一笑，长命百岁。,5792143556,大乔仙女君,https://weibo.com/u/5792143556,,香港 其他,f,83330,2211,19240,"639,296","41,112","949,699","1,630,107",情感博主
2,4541441949571611,5290666508,20年08月24日 13:45,博主好，我来赞一个，常互动哦,4541443282831394,1,0,博主好，我来赞一个，常互动哦,2623865607,China唐有为,https://weibo.com/u/2623865607,最走心的微博，总有你的青春故事，不喜勿喷哈，文明评论，谢谢支持，点点关注不迷路，博主带你上高速！,湖南 长沙,m,47207,11012,173,"8,678",559,"8,975","18,212",搞笑幽默博主 超话主持人（有为青年故事超话） 微博剪辑视频博主
3,4541441949571611,5290666508,20年08月24日 13:44,支持博主,4541442976120976,1,0,支持博主,5907262797,蜜源龙猫-556655,https://weibo.com/u/5907262797,📌抖音短视频无忧店铺带货 招徒弟 招代理   📌全网独家黑科技0粉直播 免费流量 无需投豆荚  📌-Augous 独家送1000粉丝   📌备注微博秒通过,江苏,f,109426,7801,5049,"25,031",115,"6,579","31,725",超话主持人（互联网轻创业超话）
4,4541441949571611,5290666508,20年08月24日 13:44,"<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",4541442964067640,1,0,[心],3738223382,财经擒龙者,https://weibo.com/u/3738223382,金融学博士，财经名博，著名投资人，擒龙者大力倡导大趋势投资理念，追求财富的长期复合增长！,上海,m,560131,3605,49612,"188,316","51,793","3,122,360","3,362,469",财经博主 长江证劵首席操盘手
5,4541441949571611,5290666508,20年08月24日 13:43,"<img alt=""[舔屏]"" title=""[舔屏]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3e/2018new_tianping_org.png"" />",4541442821980432,1,0,[舔屏],1262677880,佛牌师哥,https://weibo.com/u/1262677880,泰国佛教文化，泰国佛牌知识普及，收藏，鉴定,山东,m,8519,5253,2044,"89,020",408,"28,303","117,731",鑫炎曦（济宁）电子商务有限公司 董事长
6,4541441949571611,5290666508,20年08月24日 13:43,拜读,4541442808362777,1,0,拜读,7229688109,六月韭-,https://weibo.com/u/7229688109,证券投资人，知名游资决策人，操盘手导师。,山东,m,690365,28,5463,"185,853","49,037","381,268","616,158",财经博主 微博原创视频博主
7,4541441949571611,5290666508,20年08月24日 13:47,"中午好<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",4541443936620889,1,0,中午好[心],2635627491,靖稠网络官微,https://weibo.com/u/2635627491,业余摄影师,海外,f,446630,1135,6198,"21,664","5,362","50,028","77,054",丽水市顺途科技有限公司官方微博
8,4541441949571611,5290666508,20年08月24日 13:43,谢谢你~~楼上最帅。。。,4541442929734139,1,0,谢谢你~~楼上最帅。。。,5755857693,笑典,https://weibo.com/u/5755857693,？？？,四川,f,100521,1062,2741,"63,632",692,"22,135","86,459",
9,4541441949571611,5290666508,20年08月24日 13:40,"你好，你感兴趣的“福州大学”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; <a target=""_blank"" href=""https://weibo.com/p/10080878cfd6712973070dbb9882dae03763b9""><img class=""icon-link"" title=""#福州大学[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>福州大学超话</a>",4541441952454531,1,0,你好，你感兴趣的“福州大学”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> #福州大学[超话]#,5878659096,超话社区,https://weibo.com/u/5878659096,,北京,m,237743428,1720,27049,"2,912,007","5,990,621","57,353,772","66,256,400",超话社区官方微博
