,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5046168837161024,1649173367,24年06月17日 09:00,"优秀！<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自江苏,5046177930414062,0,14,优秀！[赞],1319475951,潘益兵,https://weibo.com/u/1319475951,财经博主,新浪财经名博。,江苏 南京,m,949261,2009,108347,"329,658","333,583","955,109","1,618,350"
1,5046168837161024,1649173367,24年06月17日 18:33,是姜萍应得的-对得起她自己的努力！,来自河北,5046321983784140,1,6,是姜萍应得的-对得起她自己的努力！,2650110505,yjvw乞力马扎罗的雪,https://weibo.com/u/2650110505,,无🈚️,河北,m,633,766,3742,630,47,"1,105","1,782"
2,5046168837161024,1649173367,24年06月17日 14:29,这么安静的女孩子，太棒了,来自重庆,5046260632128199,0,4,这么安静的女孩子，太棒了,7895574154,王权-毅夏,https://weibo.com/u/7895574154,,,其他,f,381,397,392,"15,547",40,453,"16,040"
3,5046168837161024,1649173367,24年06月17日 13:11,她真的很厉害还有很懂事,来自广西,5046241186287280,0,6,她真的很厉害还有很懂事,7828873759,奇兵到家官方微博,https://weibo.com/u/7828873759,广西阿泰信息科技有限公司官方微博,找师傅、找工人，就用奇兵到家。 全国售后无盲区，拥有300万+专业师傅，覆盖全国 99.5%的区域，帮用户解决急单、村镇安装问题。vx搜[奇兵到家官方],广西,f,771,99,354,369,"6,291",994,"7,654"
4,5046168837161024,1649173367,24年06月18日 05:36,阿里巴巴炒作很成功,来自北京,5046489011978688,0,5,阿里巴巴炒作很成功,2684116841,大黄哥2022,https://weibo.com/u/2684116841,北京诺达眼镜西直门店 职员,日式眼镜引导者,北京,m,1919,453,675,33,3,231,267
5,5046168837161024,1649173367,24年06月17日 13:36,如果奋斗一年再进的话，加油,来自福建,5046247480102306,0,1,如果奋斗一年再进的话，加油,7056807174,baymax西兰花,https://weibo.com/u/7056807174,,,其他,m,21,2470,1752,278,24,436,738
6,5046168837161024,1649173367,24年06月17日 13:31,"<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自黑龙江,5046246175671641,0,0,[爱你],1922393125,纳西莎布莱克,https://weibo.com/u/1922393125,,,黑龙江 哈尔滨,f,259,3064,4961,247,9,93,349
7,5046168837161024,1649173367,24年06月17日 13:09,"<img alt=""[鼓掌]"" title=""[鼓掌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_guzhang_org.png"" /><img alt=""[鼓掌]"" title=""[鼓掌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_guzhang_org.png"" />",来自广东,5046240549537778,0,0,[鼓掌][鼓掌],1846476851,维军0663,https://weibo.com/u/1846476851,,,广东 揭阳,m,763,5136,11376,682,165,188,"1,035"
8,5046168837161024,1649173367,24年06月17日 15:39,祝福不等于抛橄榄枝啊,来自山东,5046278377440264,0,1,祝福不等于抛橄榄枝啊,6599811200,闪现亲一下,https://weibo.com/u/6599811200,,哎哦,山东 青岛,m,167,65,126,34,3,45,82
9,5046168837161024,1649173367,24年06月17日 14:30,加油加油,来自广西,5046261069906974,0,0,加油加油,7884296993,啾咪小小鱼,https://weibo.com/u/7884296993,娱乐博主,人生小满胜万全,广西,f,4714,911,3840,"45,555","2,563","5,348","53,466"
10,5046168837161024,1649173367,24年06月18日 06:18,"<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自山东,5046499411232096,0,0,[打call],1712844444,我是于宝,https://weibo.com/u/1712844444,,新图腾于宝原创设计 www.bao1983.cn,北京 东城区,m,8778,233,550,"3,912","1,820",420,"6,152"
