,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037253399416194,6396943187,24年05月23日 18:07,没有谁的人生易如反掌,来自重庆,5037255903154994,5,27,没有谁的人生易如反掌,6396943187,吖妮耶,https://weibo.com/u/6396943187,微博电视团成员 娱乐博主 微博剪辑视频博主,合作联系v/juanjuanioi,福建,f,709864,773,3674,"167,877","218,778","1,277,634","1,664,289"
1,5037253399416194,6396943187,24年05月23日 18:10,每个人的人生都有不一样的精彩，也有不一样的坎坷。,来自湖南,5037256679360013,3,12,每个人的人生都有不一样的精彩，也有不一样的坎坷。,6018591241,做个健康的富婆,https://weibo.com/u/6018591241,,精致的猪猪女孩,其他,f,172,1031,39965,309,63,477,849
2,5037253399416194,6396943187,24年05月23日 18:03,"哈哈哈哈 你牛<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自福建,5037254858771586,0,6,哈哈哈哈 你牛[doge],7510358054,喜欢樱花盛开的季节,https://weibo.com/u/7510358054,,,其他,m,15021,23,1112,2,98,21,121
3,5037253399416194,6396943187,24年05月23日 18:11,每个人的经历都不一样哪有那么易如反掌,来自四川,5037256869415359,2,1,每个人的经历都不一样哪有那么易如反掌,7756449670,yyi-a,https://weibo.com/u/7756449670,,,其他,f,58,1467,7556,115,23,669,807
4,5037253399416194,6396943187,24年05月23日 18:11,太敢说了，不过确实没有人的人生是易如反掌的,来自福建,5037256815675905,0,1,太敢说了，不过确实没有人的人生是易如反掌的,6530732457,1_壹拾一,https://weibo.com/u/6530732457,,,福建,f,80,758,1434,27,2,9,38
5,5037253399416194,6396943187,24年05月23日 18:14,问到了一丝丝瓜的气息？但不知道具体是啥,来自河南,5037257631206159,0,0,问到了一丝丝瓜的气息？但不知道具体是啥,5330086410,关184,https://weibo.com/u/5330086410,,会当凌绝顶，一览众山小,河南 驻马店,m,122,717,812,21,0,1,22
6,5037253399416194,6396943187,24年05月23日 18:12,人生本来就很艰难了,来自贵州,5037257146761848,0,0,人生本来就很艰难了,5413626638,小朋友开心的桃子,https://weibo.com/u/5413626638,,要做世界上最幸福的人,贵州 安顺,m,22,752,17726,120,685,165,970
7,5037253399416194,6396943187,24年05月23日 18:11,每个人都有不一样的精彩和坎坷,来自四川,5037256970864656,0,1,每个人都有不一样的精彩和坎坷,7729349298,魔法少男朋,https://weibo.com/u/7729349298,,,其他,f,11,653,4162,63,"1,011",78,"1,152"
8,5037253399416194,6396943187,24年05月23日 18:11,与高素质的人对话，开眼界,来自海南,5037256882785612,0,0,与高素质的人对话，开眼界,5670786706,jxr姜姜,https://weibo.com/u/5670786706,,,黑龙江,f,86,3986,17463,447,276,752,"1,475"
9,5037253399416194,6396943187,24年05月23日 18:24,不是当事人！！！！是转发贴哦,来自福建,5037260250547219,0,4,不是当事人！！！！是转发贴哦,6135453803,羊咩咩是喔,https://weibo.com/u/6135453803,,忙忙亦茫茫,山西,f,158,1006,408,975,0,"2,149","3,124"
10,5037253399416194,6396943187,24年05月23日 18:12,每个人的人生都不是易如反掌的都不容易,来自山东,5037257038234130,0,0,每个人的人生都不是易如反掌的都不容易,7761646632,偶尔有一点小脾气,https://weibo.com/u/7761646632,,,山东,f,44,1310,20450,92,160,58,310
11,5037253399416194,6396943187,24年05月23日 18:11,这话说的也不是不对,来自河北,5037256945435710,0,0,这话说的也不是不对,7791443352,不是小刘1,https://weibo.com/u/7791443352,,今天也是美好的一天,其他,f,37,1711,13724,99,8,29,136
12,5037253399416194,6396943187,24年05月23日 18:11,每一个人的人生都是不容易,来自四川,5037256767439679,0,3,每一个人的人生都是不容易,7352616111,小王王要开心呀,https://weibo.com/u/7352616111,,一起哭去玩,其他,m,187,2033,32185,665,587,"3,562","4,814"
13,5037253399416194,6396943187,24年05月23日 18:04,"//<a href=/n/剧综安妮的小跟班 usercard=""name=@剧综安妮的小跟班"">@剧综安妮的小跟班</a>:给热度就up<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自福建,5037255053545570,0,1,//@剧综安妮的小跟班:给热度就up[打call],7717818337,安妮的小尾巴,https://weibo.com/u/7717818337,,,其他,m,1,68,2395,2,1,36,39
14,5037253399416194,6396943187,24年05月23日 18:03,"给热度就up<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自福建,5037254974641022,0,1,给热度就up[打call],7768261471,剧综安妮的小跟班,https://weibo.com/u/7768261471,,,其他,m,130,161,5967,4,1,33,38
