,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4869207169172570,7370549919,23年03月15日 10:54,"学姐你好，求资料<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自河南,4879508123423367,2,0,学姐你好，求资料[爱你],6025488269,小甜甜浅熙,https://weibo.com/u/6025488269,,河南 驻马店,f,132,698,329,284,3,190,477
1,4869207169172570,7370549919,23年03月08日 20:25,留名,来自辽宁,4877115130123051,1,0,留名,5230586093,焰末荧,https://weibo.com/u/5230586093,请你保持冷静,其他,m,90,111,169,53,0,112,165
2,4869207169172570,7370549919,23年02月23日 09:15,蹲蹲蹲 求求求,来自山东,4872235490477282,1,0,蹲蹲蹲 求求求,5214286342,来了就打扰一下,https://weibo.com/u/5214286342,此号👤：无敌存在感➕互联网碎碎念,山东 威海,f,68,375,48,62,5,215,282
3,4869207169172570,7370549919,23年02月20日 22:11,你好学姐,来自河北,4871343592447723,1,0,你好学姐,7204349716,碧昂丝迷弟KKC,https://weibo.com/u/7204349716,182单身小狗一枚,河北,m,13,296,18,1,0,29,30
4,4869207169172570,7370549919,23年03月24日 11:39,up,来自山西,4882781098217150,0,0,up,7370549919,Li_Prunella,https://weibo.com/u/7370549919,那就在光下相拥,其他,f,14,288,168,118,4,42,164
5,4869207169172570,7370549919,23年02月28日 10:50,up,来自山西,4874071270229189,0,0,up,7370549919,Li_Prunella,https://weibo.com/u/7370549919,那就在光下相拥,其他,f,14,288,168,118,4,42,164
6,4869207169172570,7370549919,23年02月26日 15:51,"<img alt=""[奥特曼]"" title=""[奥特曼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_aoteman_org.png"" />",来自山西,4873422452820553,0,0,[奥特曼],7370549919,Li_Prunella,https://weibo.com/u/7370549919,那就在光下相拥,其他,f,14,288,168,118,4,42,164
7,4869207169172570,7370549919,23年02月24日 10:40,"<img alt=""[奥特曼]"" title=""[奥特曼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_aoteman_org.png"" />",来自山西,4872619267986496,0,0,[奥特曼],7370549919,Li_Prunella,https://weibo.com/u/7370549919,那就在光下相拥,其他,f,14,288,168,118,4,42,164
8,4869207169172570,7370549919,23年02月20日 16:49,"<img alt=""[奥特曼]"" title=""[奥特曼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_aoteman_org.png"" />",来自山西,4871262624812542,0,0,[奥特曼],7370549919,Li_Prunella,https://weibo.com/u/7370549919,那就在光下相拥,其他,f,14,288,168,118,4,42,164
9,4869207169172570,7370549919,23年02月17日 16:14,"<img alt=""[奥特曼]"" title=""[奥特曼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_aoteman_org.png"" />",来自山西,4870166581613897,0,0,[奥特曼],7370549919,Li_Prunella,https://weibo.com/u/7370549919,那就在光下相拥,其他,f,14,288,168,118,4,42,164
10,4869207169172570,7370549919,23年02月16日 14:05,"<img alt=""[奥特曼]"" title=""[奥特曼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_aoteman_org.png"" />",来自山西,4869771775967939,0,0,[奥特曼],7370549919,Li_Prunella,https://weibo.com/u/7370549919,那就在光下相拥,其他,f,14,288,168,118,4,42,164
11,4869207169172570,7370549919,23年02月15日 10:49,"<img alt=""[奥特曼]"" title=""[奥特曼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_aoteman_org.png"" />",来自山西,4869360005154766,0,0,[奥特曼],7370549919,Li_Prunella,https://weibo.com/u/7370549919,那就在光下相拥,其他,f,14,288,168,118,4,42,164
12,4869207169172570,7370549919,23年02月23日 08:42,"已私<img alt=""[憧憬]"" title=""[憧憬]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c9/2018new_chongjing_org.png"" />",来自湖北,4872227197026793,0,0,已私[憧憬],6326310050,love桃gogo,https://weibo.com/u/6326310050,,浙江 台州,f,9,262,65,23,0,159,182
13,4869207169172570,7370549919,23年08月22日 20:04,你好，请问社会学概论多少出？,来自四川,4937628753594533,0,0,你好，请问社会学概论多少出？,5318274318,honeysucklezX,https://weibo.com/u/5318274318,hold on to yourself,四川 德阳,f,60,220,764,652,18,773,"1,443"
14,4869207169172570,7370549919,23年03月23日 20:47,资料怎么出,来自陕西,4882556551435370,0,0,资料怎么出,5209783148,思念将冬,https://weibo.com/u/5209783148,镇魂/next page,陕西 西安,f,278,572,1021,"1,472",7,"3,316","4,795"
15,4869207169172570,7370549919,23年03月18日 00:00,"想问问momo辅导班咋样捏<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />",来自广东,4880430698858061,1,0,想问问momo辅导班咋样捏[苦涩],7172373130,双双囍囍儿,https://weibo.com/u/7172373130,多些开心!,其他,f,12,1162,1021,92,12,112,216
16,4869207169172570,7370549919,23年03月04日 20:51,"求<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自湖北,4875672092148333,0,0,求[爱你],6592439623,快叫阿爸阿爸,https://weibo.com/u/6592439623,我为两件事来到人间，一是感受温柔，二是领略山河。,海外,f,1,107,25,2,0,105,107
17,4869207169172570,7370549919,23年03月04日 20:03,momo辅导班咋样啊 学姐,来自广东,4875660017795942,0,0,momo辅导班咋样啊 学姐,6318373890,Ubiquitousyyy,https://weibo.com/u/6318373890,这素一个追星小号,其他,f,14,217,4088,"5,317",57,"2,138","7,512"
18,4869207169172570,7370549919,23年02月20日 20:51,"<img alt=""[奥特曼]"" title=""[奥特曼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_aoteman_org.png"" />",来自广东,4871323417055918,0,0,[奥特曼],5436671543,shallwetalkto水水,https://weibo.com/u/5436671543,神仙鱼横渡大海会断魂,广东 广州,f,52,467,997,544,13,"1,481","2,038"
19,4869207169172570,7370549919,23年05月19日 16:17,请问真题怎么出,来自内蒙古,4903144754514795,0,0,请问真题怎么出,7002155965,加几颗枸杞,https://weibo.com/u/7002155965,兀自成长,海外,f,579,75,143,85,1,77,163
20,4869207169172570,7370549919,23年03月29日 23:17,求资料,来自吉林,4884768530894093,0,0,求资料,7704899515,章鱼遍地走,https://weibo.com/u/7704899515,,其他,m,0,17,3,0,0,0,0
21,4869207169172570,7370549919,23年03月25日 12:34,"求资料<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自湖南,4883157185200277,0,0,求资料[泪],7268219584,xyyrxhw,https://weibo.com/u/7268219584,我爱学习,陕西,f,1,313,14,10,0,20,30
