,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4883938601079507,5418921936,23年03月27日 16:49,"英语49分直接没戏<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自湖南,4883946117273082,2,2,英语49分直接没戏[泪],7748376336,旎和小树,https://weibo.com/u/7748376336,健康 平静 有思想,其他,f,20,436,341,726,6,504,"1,236"
1,4883938601079507,5418921936,23年03月27日 17:07,真题在哪,来自四川,4883950629031130,1,1,真题在哪,5855787348,黑色飞机随便停,https://weibo.com/u/5855787348,,四川 成都,m,81,155,1,0,0,1,1
2,4883938601079507,5418921936,23年03月27日 20:15,"想求一份资料<img alt=""[悲伤]"" title=""[悲伤]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/ee/2018new_beishang_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",来自山西,4883998084700729,1,0,想求一份资料[悲伤][送花花][送花花],3837432727,brocadeeeee-,https://weibo.com/u/3837432727,🌠🎋,其他,f,326,199,487,"1,114",7,"2,146","3,267"
3,4883938601079507,5418921936,23年03月27日 16:29,哪个app的群,来自云南,4883941254761917,1,0,哪个app的群,5628484364,桐么儿-,https://weibo.com/u/5628484364,健康、内心平静、钱,云南,f,89,391,1088,"2,270",15,"3,769","6,054"
4,4883938601079507,5418921936,23年04月06日 21:09,想要一份真题,来自江西,4887635573086933,1,0,想要一份真题,7341172920,慎独方能自洽,https://weibo.com/u/7341172920,,安徽,f,1,20,0,0,0,0,0
5,4883938601079507,5418921936,23年03月27日 22:36,万硕士，我想要一份真题,来自广东,4884033429311009,1,0,万硕士，我想要一份真题,6438699814,密封线内不要作答,https://weibo.com/u/6438699814,千言万语,其他,f,3,196,158,12,1,9,22
6,4883938601079507,5418921936,23年03月27日 17:24,"唉差几分<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自河北,4883954979311875,1,0,唉差几分[泪],5242877324,井井有条不紊,https://weibo.com/u/5242877324,卖豆浆的小店冒着热气,福建 厦门,m,204,469,1729,"1,352",59,"2,796","4,207"
7,4883938601079507,5418921936,23年04月06日 23:42,"求一份复试资料<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />感恩",来自云南,4887673972200370,0,0,求一份复试资料[泪]感恩,2642259834,胖棉衣,https://weibo.com/u/2642259834,月亮会失约，太阳会落山,云南 大理,f,130,277,552,142,13,295,450
8,4883938601079507,5418921936,24年03月23日 14:53,求真题!!,来自福建,5015101444459559,0,0,求真题!!,5135258292,SnWfK-,https://weibo.com/u/5135258292,保持好心情,福建 泉州,f,32,475,121,85,1,160,246
9,4883938601079507,5418921936,24年03月05日 08:26,"求一份真题，谢谢<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",来自广东,5008481062752132,0,0,求一份真题，谢谢[心],6988699649,Rrrrrrrrii_,https://weibo.com/u/6988699649,Bet on me,广东 深圳,f,66,422,1526,717,30,"1,117","1,864"
10,4883938601079507,5418921936,24年01月31日 19:33,"求一份真题<img alt=""[悲伤]"" title=""[悲伤]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/ee/2018new_beishang_org.png"" />",来自福建,4996327651937551,0,0,求一份真题[悲伤],3232005217,非常爱干饭的举铁人,https://weibo.com/u/3232005217,无,其他,m,62,128,439,143,651,"3,075","3,869"
11,4883938601079507,5418921936,23年09月09日 23:58,有福州大学的法硕群吗 24考研的,来自河南,4944210492394871,0,0,有福州大学的法硕群吗 24考研的,5541693858,i-Katherine-,https://weibo.com/u/5541693858,别让黑暗吞噬热爱的生活,河南 焦作,f,354,224,417,"2,456",10,"3,740","6,206"
12,4883938601079507,5418921936,23年04月06日 18:11,求真题资料谢谢🙏,来自福建,4887590731517852,0,0,求真题资料谢谢🙏,6393200102,不想摘月,https://weibo.com/u/6393200102,。,其他,f,0,18,97,23,0,1,24
13,4883938601079507,5418921936,23年04月06日 17:32,求真题！,来自江西,4887580833219548,0,0,求真题！,5122423611,苏奕楚,https://weibo.com/u/5122423611,如果只是路过，我在终点等你。,其他,f,71,151,1058,"1,347",45,"3,924","5,316"
14,4883938601079507,5418921936,23年04月06日 10:13,"满哥，求福师大复试真题<img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" /><img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" />",来自福建,4887470413973654,0,0,满哥，求福师大复试真题[鲜花][鲜花],7552222831,瓦尔登湖ye,https://weibo.com/u/7552222831,Miraitowa！,其他,f,50,400,575,"1,393",111,"7,482","8,986"
15,4883938601079507,5418921936,23年04月05日 22:15,蹲一个真题！,来自福建,4887289718901651,0,0,蹲一个真题！,5537256636,谁知月下三千醉,https://weibo.com/u/5537256636,你的温柔，我想我会珍藏一生。,福建 厦门,f,129,154,538,218,83,344,645
16,4883938601079507,5418921936,23年04月05日 13:13,"求真题<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />",来自江西,4887153286316854,0,0,求真题[太开心],5743482576,吱哘合壹,https://weibo.com/u/5743482576,,江西,m,1,33,1,0,0,0,0
