,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037251467935842,3272474385,24年05月23日 17:50,希望学校要严肃处理这件事！不要大事化小！,来自重庆,5037251585640553,0,25,希望学校要严肃处理这件事！不要大事化小！,3272474385,文笙V,https://weibo.com/u/3272474385,摄影博主 微博剪辑视频博主,,贵州,m,513722,245,22876,"771,379","423,157","13,018,421","14,212,957"
1,5037251467935842,3272474385,24年05月24日 17:20,他穷他弱不是他侵犯别人的理由,来自海南,5037606524423359,0,2,他穷他弱不是他侵犯别人的理由,3616269934,西瓜地里快乐猹,https://weibo.com/u/3616269934,,欲戴其冠，必承其重。,其他,f,61,80,283,61,3,127,191
2,5037251467935842,3272474385,24年05月24日 17:11,"<a href=/n/福州日报 usercard=""name=@福州日报"">@福州日报</a>",来自福建,5037604110336090,0,0,@福州日报,5526073247,ss发疯文学,https://weibo.com/u/5526073247,,颓废路上越走越远,福建 三明,f,3,77,23,2,0,9,11
3,5037251467935842,3272474385,24年05月24日 17:11,"<a href=/n/福州大学 usercard=""name=@福州大学"">@福州大学</a>",来自福建,5037604072590093,0,0,@福州大学,5526073247,ss发疯文学,https://weibo.com/u/5526073247,,颓废路上越走越远,福建 三明,f,3,77,23,2,0,9,11
4,5037251467935842,3272474385,24年05月23日 22:31,"呵呵放过他一次就会有第二次，反正30岁家庭困难班委卖惨就行了，辅导员会保护他的<img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" /><img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" /><img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" /><img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" />",来自福建,5037322250486801,0,0,呵呵放过他一次就会有第二次，反正30岁家庭困难班委卖惨就行了，辅导员会保护他的[吐][吐][吐][吐],5281890205,果粒橙-BCG,https://weibo.com/u/5281890205,,,福建 泉州,f,15,144,81,11,0,17,28
5,5037251467935842,3272474385,24年05月23日 20:25,希望校方能严惩犯罪行为 ！,来自广东,5037290697789452,0,1,希望校方能严惩犯罪行为 ！,7879781935,意识觉醒读物推荐bot,https://weibo.com/u/7879781935,,♀⭕小说、综艺节目、纪录片和书籍推荐，雌鹰展翅,其他,f,28,2,25,24,9,142,175
6,5037251467935842,3272474385,24年05月23日 19:01,没出息的家伙,来自吉林,5037269559805066,0,0,没出息的家伙,7826620424,蓝莓酱好吃的酱,https://weibo.com/u/7826620424,,,吉林,f,2,24,7,0,0,0,0
7,5037251467935842,3272474385,24年05月23日 18:21,"等监控<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自海南,5037259365812913,0,0,等监控[doge],7270060204,上纲上线啊,https://weibo.com/u/7270060204,,电尽方休,广西 防城港,m,1,22,0,0,0,0,0
8,5037251467935842,3272474385,24年05月23日 21:31,对哦，30岁？找家长？这个社会疯了吗？,来自上海,5037307251656785,1,20,对哦，30岁？找家长？这个社会疯了吗？,6271083293,成为CFO需要几步,https://weibo.com/u/6271083293,,,其他,f,3,210,10,0,0,3,3
9,5037251467935842,3272474385,24年05月23日 19:47,"真恶心<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" /><img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />死流氓",来自福建,5037281021266073,0,0,真恶心[黑线][黑线]死流氓,6512845662,红豆-start,https://weibo.com/u/6512845662,,,其他,f,2,45,376,0,0,3,3
10,5037251467935842,3272474385,24年05月23日 19:13,老流氓啊这是,来自重庆,5037272547722480,0,3,老流氓啊这是,5260738183,少爷哒哒哒,https://weibo.com/u/5260738183,,,重庆 渝中区,f,69,1335,1769,61,6,909,976
11,5037251467935842,3272474385,24年05月23日 18:06,"<a href=/n/福州大学 usercard=""name=@福州大学"">@福州大学</a> <a href=/n/福州网警 usercard=""name=@福州网警"">@福州网警</a> <a href=/n/福州发布 usercard=""name=@福州发布"">@福州发布</a> <a href=/n/福州教育 usercard=""name=@福州教育"">@福州教育</a>  立即开除猥亵犯并移送公安机关<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />",来自广东,5037255548473261,0,0,@福州大学 @福州网警 @福州发布 @福州教育  立即开除猥亵犯并移送公安机关[挖鼻],6427662973,wellsaidthat,https://weibo.com/u/6427662973,,,其他,m,8,196,3,0,0,2,2
