,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037289119682533,2020253241,24年05月23日 21:15,唉,来自山西,5037303061549840,2,唉,2020253241,眠-LC,https://weibo.com/u/2020253241,法律博主 山西聚谦律师事务所 专职律师 罗超  微博新知博主,兴致盎然,其他,f,274557,332,23407,"77,742","25,747","489,128","592,617"
1,5037289119682533,2020253241,24年05月23日 21:52,"已经顺利毕业了，中间感觉对他没啥影响<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自新疆,5037312561906126,20,已经顺利毕业了，中间感觉对他没啥影响[允悲],5596041982,Dreampath,https://weibo.com/u/5596041982,,宁鸣而死，不默而生。,重庆,m,23,46,43,1,0,15,16
2,5037289119682533,2020253241,24年05月25日 10:09,没想到还有这么多前车之鉴,来自福建,5037860435005760,0,没想到还有这么多前车之鉴,6063137066,许墨喊我去学习了,https://weibo.com/u/6063137066,,,其他,f,6,208,161,22,0,49,71
3,5037289119682533,2020253241,24年05月23日 22:42,而且当时那个男的拿复合弓去射流浪猫狗，很残忍，福大照收不误,来自福建,5037325043634462,30,而且当时那个男的拿复合弓去射流浪猫狗，很残忍，福大照收不误,7922944850,用户7922944850,https://weibo.com/u/7922944850,,,其他,f,0,7,1,0,0,0,0
4,5037289119682533,2020253241,24年05月24日 19:22,"回复<a href=/n/六十一次同上_ usercard=""name=@六十一次同上_"">@六十一次同上_</a>:666",来自福建,5037637131829470,0,回复@六十一次同上_:666,5832938209,诣星,https://weibo.com/u/5832938209,微博VLOG博主,进京赶考 金榜题名,其他,f,929,893,712,"1,899",52,"4,165","6,116"
5,5037289119682533,2020253241,24年05月24日 16:50,"回复<a href=/n/云川栀子 usercard=""name=@云川栀子"">@云川栀子</a>:就这b学校从上到下都坏了<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />我毕业了终于可以逼逼赖赖了",来自福建,5037598957636454,0,回复@云川栀子:就这b学校从上到下都坏了[太开心]我毕业了终于可以逼逼赖赖了,7708247539,云川栀子,https://weibo.com/u/7708247539,,,其他,m,2,238,88,22,1,312,335
6,5037289119682533,2020253241,24年05月24日 16:48,"回复<a href=/n/云川栀子 usercard=""name=@云川栀子"">@云川栀子</a>:这毒妇还陷害她的傻朋友（已决裂），最会PUA别人，她朋友为了她转专业过来，结果因为她是记考勤的却不记她朋友，导致她朋友整整一学期没有考勤成绩，然后挂科大四重修好几门专业课差点延毕。自己男女关系混乱还要拉上她朋友垫背（参考江歌案）。",来自福建,5037598286807983,0,回复@云川栀子:这毒妇还陷害她的傻朋友（已决裂），最会PUA别人，她朋友为了她转专业过来，结果因为她是记考勤的却不记她朋友，导致她朋友整整一学期没有考勤成绩，然后挂科大四重修好几门专业课差点延毕。自己男女关系混乱还要拉上她朋友垫背（参考江歌案）。,7708247539,云川栀子,https://weibo.com/u/7708247539,,,其他,m,2,238,88,22,1,312,335
7,5037289119682533,2020253241,24年05月24日 16:47,"回复<a href=/n/云川栀子 usercard=""name=@云川栀子"">@云川栀子</a>:后来被服装系两个班的全班同学看不下去了举报给学校，一开始有老师保她，后来同学们受不了了举报给本部，学院才撤了她保研资格还让我们别说出去怕她想不开，种种恶心的事情。",来自福建,5037598135290593,0,回复@云川栀子:后来被服装系两个班的全班同学看不下去了举报给学校，一开始有老师保她，后来同学们受不了了举报给本部，学院才撤了她保研资格还让我们别说出去怕她想不开，种种恶心的事情。,7708247539,云川栀子,https://weibo.com/u/7708247539,,,其他,m,2,238,88,22,1,312,335
8,5037289119682533,2020253241,24年05月24日 16:46,"回复<a href=/n/云川栀子 usercard=""name=@云川栀子"">@云川栀子</a>:因为她是班长想保研，不仅整得我们学委轮流替换，还特地评低我们全班人操行分，导致有一次全班人操行全级垫底被辅导员助手打回来说我们班操行低得不正常，结果一看她自己九十几的操行。",来自福建,5037597779299952,0,回复@云川栀子:因为她是班长想保研，不仅整得我们学委轮流替换，还特地评低我们全班人操行分，导致有一次全班人操行全级垫底被辅导员助手打回来说我们班操行低得不正常，结果一看她自己九十几的操行。,7708247539,云川栀子,https://weibo.com/u/7708247539,,,其他,m,2,238,88,22,1,312,335
9,5037289119682533,2020253241,24年05月24日 09:57,"回复<a href=/n/用户7922944850 usercard=""name=@用户7922944850"">@用户7922944850</a>:<a href=/n/诣星 usercard=""name=@诣星"">@诣星</a>",来自福建,5037494884370204,0,回复@用户7922944850:@诣星,6509137821,6161v1,https://weibo.com/u/6509137821,超话粉丝大咖（敖子逸超话）,高七INFJ _,福建,f,132,270,5935,"5,550","1,342","7,025","13,917"
10,5037289119682533,2020253241,24年05月24日 00:47,"回复<a href=/n/用户7922944850 usercard=""name=@用户7922944850"">@用户7922944850</a>:什么<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自福建,5037356412831117,0,回复@用户7922944850:什么[泪],7822908759,显化大师jerry,https://weibo.com/u/7822908759,,心想事成,其他,f,3,172,2,0,0,12,12
