,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037296565356121,2020253241,24年05月23日 21:15,"男朋友可能没有自己靠谱<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自山西,5037303129704263,158,男朋友可能没有自己靠谱[允悲],2020253241,眠-LC,https://weibo.com/u/2020253241,法律博主 山西聚谦律师事务所 专职律师 罗超  微博新知博主,兴致盎然,其他,f,274557,332,23407,"77,742","25,747","489,128","592,617"
1,5037296565356121,2020253241,24年05月24日 00:00,找对象最重要的就是对职业和学历祛魅……,来自河北,5037344797492399,157,找对象最重要的就是对职业和学历祛魅……,6613366034,灵泽泽泽泽,https://weibo.com/u/6613366034,,我爱攻宝😭主角控，攻控,其他,f,0,174,1,0,0,0,0
2,5037296565356121,2020253241,24年05月24日 08:01,"律师男朋友，运气不好只怕你自己都要被他算进去<img alt=""[揣手]"" title=""[揣手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2022_chuaishou_org.png"" /><img alt=""[揣手]"" title=""[揣手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2022_chuaishou_org.png"" />",来自四川,5037465656362192,79,律师男朋友，运气不好只怕你自己都要被他算进去[揣手][揣手],6296244707,最讨厌吃栗子,https://weibo.com/u/6296244707,,镇魂,其他,f,37,202,2955,"1,264",61,"2,271","3,596"
3,5037296565356121,2020253241,24年05月24日 16:08,你看一眼那个猥亵女孩的犯罪者是什么性别？,来自安徽,5037588408698301,59,你看一眼那个猥亵女孩的犯罪者是什么性别？,7767340431,不动乐堍,https://weibo.com/u/7767340431,,✟止水,其他,f,25,463,116,74,1,216,291
4,5037296565356121,2020253241,24年05月25日 00:32,"怎么下意识就想依靠男人？这什么想法<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自广东,5037715223217356,21,怎么下意识就想依靠男人？这什么想法[允悲],7767729764,早上好-今天天气-多云转晴,https://weibo.com/u/7767729764,,我会拥有一切想拥有的、美好的东西。爱这个世界。,上海,f,1,76,849,43,59,99,201
5,5037296565356121,2020253241,24年05月24日 00:16,没用 律师自身难保,来自北京,5037348749839122,1,没用 律师自身难保,7269883988,学习这种事当然是小菜一碟,https://weibo.com/u/7269883988,,没有轨道怎么通向原野,其他,f,13,99,6105,"1,135",171,970,"2,276"
6,5037296565356121,2020253241,24年05月25日 17:12,。。。。。。。。。。。你？,来自湖南,5037966920257432,0,。。。。。。。。。。。你？,5335781818,若是不把要说的话说出口,https://weibo.com/u/5335781818,,健康，安全，独立🌻,其他,f,97,414,673,98,8,52,158
7,5037296565356121,2020253241,24年05月24日 23:07,"感谢所有好心敲醒我的姐妹们<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />我一定自己保护好自己",来自北京,5037693824929913,0,感谢所有好心敲醒我的姐妹们[允悲]我一定自己保护好自己,7914687033,杏仁豆腐躺平中,https://weibo.com/u/7914687033,,,吉林 长春,f,3,33,1,0,0,0,0
8,5037296565356121,2020253241,24年05月24日 08:44,你这种愚蠢的想法再不改改，更容易遇上直接打你的男朋友，对jc、律师这种职业不要带滤镜,来自浙江,5037476672702815,67,你这种愚蠢的想法再不改改，更容易遇上直接打你的男朋友，对jc、律师这种职业不要带滤镜,7554942733,千年等一回12345,https://weibo.com/u/7554942733,,,其他,f,19,1923,1451,50,276,490,816
9,5037296565356121,2020253241,24年05月24日 21:13,"回复<a href=/n/忣泷 usercard=""name=@忣泷"">@忣泷</a>:哈哈哈哈",来自山西,5037665084768628,0,回复@忣泷:哈哈哈哈,2020253241,眠-LC,https://weibo.com/u/2020253241,法律博主 山西聚谦律师事务所 专职律师 罗超  微博新知博主,兴致盎然,其他,f,274557,332,23407,"77,742","25,747","489,128","592,617"
