,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037277606841265,7544478315,24年05月23日 20:28,"同意<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />厦门校区也有类似情况的老师<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />前几天侧门的保安还说女生穿短裙回校晚不干好事<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",来自福建,5037291389060051,49,同意[微笑]厦门校区也有类似情况的老师[微笑]前几天侧门的保安还说女生穿短裙回校晚不干好事[微笑],7090612431,Z沅芷,https://weibo.com/u/7090612431,,其他,f,7,163,104,9,1,46,56
1,5037277606841265,7544478315,24年05月23日 21:06,"感觉好多辅导员都这样<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />",来自福建,5037300819951900,10,感觉好多辅导员都这样[苦涩],7101889948,郭瑾菡_,https://weibo.com/u/7101889948,TFBOYS十周年快乐♡,福建 福州,f,8,319,170,15,1,48,64
2,5037277606841265,7544478315,24年05月23日 20:18,真的就是这种感觉，虽然已经毕业了,来自福建,5037288801436538,4,真的就是这种感觉，虽然已经毕业了,6045464925,ThousandSeven,https://weibo.com/u/6045464925,你从未尝试着向上爬，所以凭什么看最美的风景？,江苏,f,55,120,786,691,6,895,"1,592"
3,5037277606841265,7544478315,24年05月23日 20:13,挺你。十年前就有这种感觉了！,来自新西兰,5037287469749069,2,挺你。十年前就有这种感觉了！,1076573282,soso南半球的丸子,https://weibo.com/u/1076573282,简简单单快快乐乐~,海外,f,719,1156,2569,"3,189","1,865","6,792","11,846"
4,5037277606841265,7544478315,24年05月23日 22:15,是这样，我也证明,来自福建,5037318203248490,2,是这样，我也证明,6235832072,温悦infinity,https://weibo.com/u/6235832072,"sorry, 暴雷大众雷点水产+💩团粉+lyn粉+🖐🏻🈷️天粉... 未完待续(重点讨厌粉丝不针对本人)",广东 深圳,f,59,690,894,"1,046",57,"4,235","5,338"
5,5037277606841265,7544478315,24年05月24日 11:39,"不能再同意了<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",来自福建,5037520516025622,0,不能再同意了[微笑],5046986300,-掉刺仙人掌,https://weibo.com/u/5046986300,爱自有天意,福建 莆田,f,678,518,888,"1,880",785,"2,994","5,659"
6,5037277606841265,7544478315,24年05月23日 22:31,有拿奖学金回扣吗,来自福建,5037322294790477,2,有拿奖学金回扣吗,2513540043,春天的理想,https://weibo.com/u/2513540043,吃货，懒,其他,f,45,28,365,2,1,8,11
7,5037277606841265,7544478315,24年05月23日 22:17,"辅导员不是到了30岁就要转岗了吗<img alt=""[吃惊]"" title=""[吃惊]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/49/2018new_chijing_org.png"" />怎么会有中年老男人",来自福建,5037318887448224,0,辅导员不是到了30岁就要转岗了吗[吃惊]怎么会有中年老男人,5664985733,麣纞虋歌姬咯啦酱哒茉莉,https://weibo.com/u/5664985733,,其他,m,185,1479,7062,"3,473",61,"1,003","4,537"
8,5037277606841265,7544478315,24年05月23日 22:05,同感,来自江西,5037315867545526,0,同感,7904443331,江南烟雨小舟xnm25,https://weibo.com/u/7904443331,嫣然一笑，惑阳城，迷下蔡,其他,m,0,61,30,1,0,0,1
9,5037277606841265,7544478315,24年05月23日 20:24,"<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />本研0瑟瑟发抖",来自云南,5037290449273073,0,[泪][泪][泪][泪]本研0瑟瑟发抖,7336604512,用户7336604512,https://weibo.com/u/7336604512,,其他,f,7,45,23,0,0,34,34
10,5037277606841265,7544478315,24年05月28日 16:25,"这么坏<img alt=""[打脸]"" title=""[打脸]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2018new_dalian_org.png"" /><img alt=""[打脸]"" title=""[打脸]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2018new_dalian_org.png"" /><img alt=""[打脸]"" title=""[打脸]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2018new_dalian_org.png"" />",来自四川,5039042083160638,0,这么坏[打脸][打脸][打脸],6307443992,远舟与猫-,https://weibo.com/u/6307443992,没有人，在年少时想成为一个普通的人,海外,f,158,598,656,92,29,197,318
11,5037277606841265,7544478315,24年05月24日 04:45,"回复<a href=/n/Z沅芷 usercard=""name=@Z沅芷"">@Z沅芷</a>:我就是厦门校区的我辅导员超级无语<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自福建,5037416423358649,0,回复@Z沅芷:我就是厦门校区的我辅导员超级无语[泪],5322019682,一只可愛的余,https://weibo.com/u/5322019682,我愛學習，學習愛我,福建,m,51,102,8,2,0,18,20
12,5037277606841265,7544478315,24年05月24日 04:44,"回复<a href=/n/麣纞虋歌姬咯啦酱哒茉莉 usercard=""name=@麣纞虋歌姬咯啦酱哒茉莉"">@麣纞虋歌姬咯啦酱哒茉莉</a>:压根没有这回事，你可以关注一下福州大学公众号号看一下福大各个学院的辅导员很多都是中年人，40多岁的都有，我辅导员就快四十了，一个中年油腻男",来自福建,5037416290713786,1,回复@麣纞虋歌姬咯啦酱哒茉莉:压根没有这回事，你可以关注一下福州大学公众号号看一下福大各个学院的辅导员很多都是中年人，40多岁的都有，我辅导员就快四十了，一个中年油腻男,5322019682,一只可愛的余,https://weibo.com/u/5322019682,我愛學習，學習愛我,福建,m,51,102,8,2,0,18,20
13,5037277606841265,7544478315,24年05月23日 20:48,同感,来自福建,5037296418295941,0,同感,3211616601,一只橘子皮乚,https://weibo.com/u/3211616601,时光飞速旋转，却忘了把我们捎上。Evanesce☆034,广东 梅州,f,117,306,114,30,5,40,75
14,5037277606841265,7544478315,24年05月23日 20:31,"回复<a href=/n/Z沅芷 usercard=""name=@Z沅芷"">@Z沅芷</a>:侧门那保安简直疯子<img alt=""[怒]"" title=""[怒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_nu_org.png"" /><img alt=""[怒]"" title=""[怒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_nu_org.png"" />还拿水泼一只很乖的小猫<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />",来自福建,5037292001167847,3,回复@Z沅芷:侧门那保安简直疯子[怒][怒]还拿水泼一只很乖的小猫[挖鼻],5707731883,我素汉堡kkk,https://weibo.com/u/5707731883,,其他,f,68,240,11,58,5,111,174
15,5037277606841265,7544478315,24年05月23日 20:29,"回复<a href=/n/Z沅芷 usercard=""name=@Z沅芷"">@Z沅芷</a>:点了",来自福建,5037291492082923,0,回复@Z沅芷:点了,2560185151,只是一支水母,https://weibo.com/u/2560185151,春光浪费,浙江,f,124,1277,602,75,5,217,297
