,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037269632942154,7782041821,24年05月23日 19:22,警方已经处理过了以后发的小作文,来自上海,5037274682887583,1,警方已经处理过了以后发的小作文,7782041821,容嬷嬷的姐姐容婆婆,https://weibo.com/u/7782041821,娱乐博主 微博剪辑视频博主,婆婆来这个圈子是修炼的🪸🪸🪸,其他,f,207465,787,3120,"217,706","56,776","1,440,076","1,714,558"
1,5037269632942154,7782041821,24年05月23日 20:28,"回复<a href=/n/亭中观雨雨后 usercard=""name=@亭中观雨雨后"">@亭中观雨雨后</a>:呵呵",来自浙江,5037291292591005,0,回复@亭中观雨雨后:呵呵,7884651435,用户7884651435,https://weibo.com/u/7884651435,,,其他,m,2,132,3,0,0,0,0
2,5037269632942154,7782041821,24年05月23日 20:02,违法就报警，发墙上跟戴高帽子游街有啥区别?,来自浙江,5037284758655214,0,违法就报警，发墙上跟戴高帽子游街有啥区别?,7884651435,用户7884651435,https://weibo.com/u/7884651435,,,其他,m,2,132,3,0,0,0,0
3,5037269632942154,7782041821,24年05月23日 20:40,"回复<a href=/n/用户7884651435 usercard=""name=@用户7884651435"">@用户7884651435</a>:这两件事情没有任何关联性，我也不知道你吵的点是什么，如果生活不如意请好好生活，不要把气撒在网络世界<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />",来自福建,5037294325340462,0,回复@用户7884651435:这两件事情没有任何关联性，我也不知道你吵的点是什么，如果生活不如意请好好生活，不要把气撒在网络世界[疑问],7283976524,亭中观雨雨后,https://weibo.com/u/7283976524,,万物皆有裂痕，那便是光洒下的地方。,安徽 芜湖,f,57,165,64,226,67,"1,120","1,413"
4,5037269632942154,7782041821,24年05月23日 20:37,"回复<a href=/n/亭中观雨雨后 usercard=""name=@亭中观雨雨后"">@亭中观雨雨后</a>:不想吵架就别加最后那句，搞得好像我们都是冷漠大众就您是正义天使，这么正义为啥不去替胖猫姐姐发声?",来自浙江,5037293637207329,0,回复@亭中观雨雨后:不想吵架就别加最后那句，搞得好像我们都是冷漠大众就您是正义天使，这么正义为啥不去替胖猫姐姐发声?,7884651435,用户7884651435,https://weibo.com/u/7884651435,,,其他,m,2,132,3,0,0,0,0
5,5037269632942154,7782041821,24年05月23日 20:33,"回复<a href=/n/亭中观雨雨后 usercard=""name=@亭中观雨雨后"">@亭中观雨雨后</a>:<img alt=""[抱抱]"" title=""[抱抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/42/2018new_baobao_org.png"" /><img alt=""[抱抱]"" title=""[抱抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/42/2018new_baobao_org.png"" />",来自上海,5037292580769178,0,回复@亭中观雨雨后:[抱抱][抱抱],7782041821,容嬷嬷的姐姐容婆婆,https://weibo.com/u/7782041821,娱乐博主 微博剪辑视频博主,婆婆来这个圈子是修炼的🪸🪸🪸,其他,f,207465,787,3120,"217,706","56,776","1,440,076","1,714,558"
6,5037269632942154,7782041821,24年05月23日 20:33,"回复<a href=/n/容嬷嬷的姐姐容婆婆 usercard=""name=@容嬷嬷的姐姐容婆婆"">@容嬷嬷的姐姐容婆婆</a>:好的👌大家还是都冷静点好，但不要都这么无情",来自福建,5037292530696510,0,回复@容嬷嬷的姐姐容婆婆:好的👌大家还是都冷静点好，但不要都这么无情,7283976524,亭中观雨雨后,https://weibo.com/u/7283976524,,万物皆有裂痕，那便是光洒下的地方。,安徽 芜湖,f,57,165,64,226,67,"1,120","1,413"
7,5037269632942154,7782041821,24年05月23日 20:32,"回复<a href=/n/亭中观雨雨后 usercard=""name=@亭中观雨雨后"">@亭中观雨雨后</a>:微博上不要当真<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自上海,5037292236838523,0,回复@亭中观雨雨后:微博上不要当真[爱你],7782041821,容嬷嬷的姐姐容婆婆,https://weibo.com/u/7782041821,娱乐博主 微博剪辑视频博主,婆婆来这个圈子是修炼的🪸🪸🪸,其他,f,207465,787,3120,"217,706","56,776","1,440,076","1,714,558"
8,5037269632942154,7782041821,24年05月23日 20:31,"回复<a href=/n/用户7884651435 usercard=""name=@用户7884651435"">@用户7884651435</a>:当我没说 不想吵架 算是看清了现在的大众了",来自福建,5037292022665224,0,回复@用户7884651435:当我没说 不想吵架 算是看清了现在的大众了,7283976524,亭中观雨雨后,https://weibo.com/u/7283976524,,万物皆有裂痕，那便是光洒下的地方。,安徽 芜湖,f,57,165,64,226,67,"1,120","1,413"
9,5037269632942154,7782041821,24年05月23日 20:16,"回复<a href=/n/亭中观雨雨后 usercard=""name=@亭中观雨雨后"">@亭中观雨雨后</a>:胖猫姐姐也想要最公正的裁决，反倒被官方堵嘴，怎么没见到你出来义愤填膺",来自浙江,5037288403239485,1,回复@亭中观雨雨后:胖猫姐姐也想要最公正的裁决，反倒被官方堵嘴，怎么没见到你出来义愤填膺,7884651435,用户7884651435,https://weibo.com/u/7884651435,,,其他,m,2,132,3,0,0,0,0
10,5037269632942154,7782041821,24年05月23日 19:39,"回复<a href=/n/亭中观雨雨后 usercard=""name=@亭中观雨雨后"">@亭中观雨雨后</a>:既然警方处理过了，为什么还要发在福大的墙上呢？",来自上海,5037279074849715,2,回复@亭中观雨雨后:既然警方处理过了，为什么还要发在福大的墙上呢？,7782041821,容嬷嬷的姐姐容婆婆,https://weibo.com/u/7782041821,娱乐博主 微博剪辑视频博主,婆婆来这个圈子是修炼的🪸🪸🪸,其他,f,207465,787,3120,"217,706","56,776","1,440,076","1,714,558"
11,5037269632942154,7782041821,24年05月23日 19:38,"回复<a href=/n/容嬷嬷的姐姐容婆婆 usercard=""name=@容嬷嬷的姐姐容婆婆"">@容嬷嬷的姐姐容婆婆</a>:可是这个女生是发在福大墙上的，给我们一个提醒，她勇敢的说出来了，有错吗？",来自福建,5037278764729965,0,回复@容嬷嬷的姐姐容婆婆:可是这个女生是发在福大墙上的，给我们一个提醒，她勇敢的说出来了，有错吗？,7283976524,亭中观雨雨后,https://weibo.com/u/7283976524,,万物皆有裂痕，那便是光洒下的地方。,安徽 芜湖,f,57,165,64,226,67,"1,120","1,413"
