,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5037254495437034,7799872068,24年05月23日 18:18,"解决负面新闻的关键是好好处理这件事情，给出公正的结果，而不是删帖撤热搜息事宁人。如果一开始就让过错者得到应有的惩罚，何至于闹到这么大的地步？还是负面新闻？如果他得到了应有的惩治，女孩也得到了满意的结果，那么相信这条热搜会变为宣传学校处理得当的正面热搜<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自福建,5037258597466620,173,解决负面新闻的关键是好好处理这件事情，给出公正的结果，而不是删帖撤热搜息事宁人。如果一开始就让过错者得到应有的惩罚，何至于闹到这么大的地步？还是负面新闻？如果他得到了应有的惩治，女孩也得到了满意的结果，那么相信这条热搜会变为宣传学校处理得当的正面热搜[good][good],7660509822,清纯且俏生生的小西瓜,https://weibo.com/u/7660509822,到处捡饭！什么都吃！请勿真情实感观看！谨慎关注，随意取关ㅠㅠ,其他,f,92,347,2734,"1,459",45,849,"2,353",
1,5037254495437034,7799872068,24年05月23日 18:32,正常处理闹不大的，最多校园一圈知道，而且学校秉公办理也是好名声,来自重庆,5037262062748187,62,正常处理闹不大的，最多校园一圈知道，而且学校秉公办理也是好名声,7236487120,屿時间赛跑,https://weibo.com/u/7236487120,有思想，有执行力，人际关系好,海外,m,1,92,42,3,0,3,6,
2,5037254495437034,7799872068,24年05月23日 19:43,之前有个学校处理加害者好像是直接退学什么的，上热搜全是好评。学校要是不做和事佬，直接处理加害者，他会赢得好评的。现在只能活该被骂,来自吉林,5037279908990090,26,之前有个学校处理加害者好像是直接退学什么的，上热搜全是好评。学校要是不做和事佬，直接处理加害者，他会赢得好评的。现在只能活该被骂,3780062025,万象更新and四海升平,https://weibo.com/u/3780062025,愿祖国繁荣昌盛，河清海晏，人间皆安！,安徽,f,54,28,29,12,0,38,50,
3,5037254495437034,7799872068,24年05月23日 21:21,秉公办理才是最好的名声,来自福建,5037304815553380,5,秉公办理才是最好的名声,6141998731,Nuyodu,https://weibo.com/u/6141998731,至上主义.,福建 泉州,f,153,302,990,"1,001",18,"1,829","2,848",
4,5037254495437034,7799872068,24年05月24日 12:39,处理好才没有负面新闻,来自广东,5037535712248527,0,处理好才没有负面新闻,2456012271,果汐同学,https://weibo.com/u/2456012271,不疯魔 不成活｜偶尔追星 不混圈｜去成为想成为的人,其他,f,170,131,1854,"1,577",204,"4,966","6,747",
5,5037254495437034,7799872068,24年05月23日 23:41,最好的维护学校的方式就是大家正视这个问题，早解决都未必闹到现在这个地步，怪就怪在学校想隐瞒这个事实,来自广东,5037339942589280,0,最好的维护学校的方式就是大家正视这个问题，早解决都未必闹到现在这个地步，怪就怪在学校想隐瞒这个事实,7364286560,晚风吹行舟牛版,https://weibo.com/u/7364286560,热爱牛牛,其他,f,3,297,120,8,2,46,56,
6,5037254495437034,7799872068,24年05月23日 19:26,"最好的保护学校就是开除这个男的，这样女生估计报警都不会报了<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" /><img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" /><img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自江苏,5037275744307812,6,最好的保护学校就是开除这个男的，这样女生估计报警都不会报了[嘻嘻][嘻嘻][嘻嘻],7842231690,leuluelue666,https://weibo.com/u/7842231690,,江苏 南京,m,5,25,1,0,0,0,0,
7,5037254495437034,7799872068,24年05月23日 18:35,那现在保护的挺好,来自湖北,5037262939359971,4,那现在保护的挺好,7816853636,浮生只恨欢娱少Giftj,https://weibo.com/u/7816853636,黄沙百战穿金甲，不破楼兰终不还。,其他,f,1,24,201,107,0,38,145,
8,5037254495437034,7799872068,24年05月23日 19:04,他们好好处理了，只会是这个学生的负面新闻，不好好处理才会是这个学校的负面新闻。,来自甘肃,5037270095107521,12,他们好好处理了，只会是这个学生的负面新闻，不好好处理才会是这个学校的负面新闻。,7266548281,第二次被技术问题的小田饼,https://weibo.com/u/7266548281,感觉就像一个“技术问题”,其他,f,423,273,9145,"3,244","4,448","12,063","19,755",
9,5037254495437034,7799872068,24年05月23日 18:24,"确实是这样，但正因为学校这样自私，才更值得讨论<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自福建,5037260177148538,10,确实是这样，但正因为学校这样自私，才更值得讨论[二哈],7609510635,用户7609510635,https://weibo.com/u/7609510635,,其他,f,1,93,386,6,1,5,12,
10,5037254495437034,7799872068,24年05月23日 20:54,如果一开始学校就正常处理这个猥琐男，这事情也不会闹大。每个学校都可能有害群之马，清除掉就行。大家不会对他有负面观感，这辅导员内心就是觉得没什么大不了，想直接当没事儿翻篇,来自江苏,5037297873191170,2,如果一开始学校就正常处理这个猥琐男，这事情也不会闹大。每个学校都可能有害群之马，清除掉就行。大家不会对他有负面观感，这辅导员内心就是觉得没什么大不了，想直接当没事儿翻篇,7431114960,敦煌壁上观,https://weibo.com/u/7431114960,杠精不要来，来一个骂一个。来一对骂一双。,北京,m,9,101,49,1,0,5,6,
11,5037254495437034,7799872068,24年05月23日 18:57,"回复<a href=/n/typedef_null5 usercard=""name=@typedef_null5"">@typedef_null5</a>:你可以翻翻我首页kkkk在去年六月我发过fzu毕业照，而且还是这件事情的同个学院，fzu什么尿性我都知道<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自广东,5037268444382822,1,回复@typedef_null5:你可以翻翻我首页kkkk在去年六月我发过fzu毕业照，而且还是这件事情的同个学院，fzu什么尿性我都知道[允悲],5937534518,单纯想改名了,https://weibo.com/u/5937534518,能不能让我暴富,海外,f,160,427,1467,898,144,566,"1,608",
12,5037254495437034,7799872068,24年05月23日 18:56,"回复<a href=/n/单纯想改名了 usercard=""name=@单纯想改名了"">@单纯想改名了</a>:喔！那打扰了，她以为你在骂她好难过的<img alt=""[老师好]"" title=""[老师好]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/0d/2022_Teacher_org.png"" /><img alt=""[老师好]"" title=""[老师好]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/0d/2022_Teacher_org.png"" />",来自福建,5037268076859778,0,回复@单纯想改名了:喔！那打扰了，她以为你在骂她好难过的[老师好][老师好],5138842758,typedef_null5,https://weibo.com/u/5138842758,妈妈 人生是狗屎啊🥺,其他,m,1349,1357,1852,"9,569","1,203","12,027","22,799",娱乐博主
13,5037254495437034,7799872068,24年05月23日 18:53,"回复<a href=/n/typedef_null5 usercard=""name=@typedef_null5"">@typedef_null5</a>:其实我自己也是fzu毕业的<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />反讽？",来自广东,5037267330793543,0,回复@typedef_null5:其实我自己也是fzu毕业的[允悲]反讽？,5937534518,单纯想改名了,https://weibo.com/u/5937534518,能不能让我暴富,海外,f,160,427,1467,898,144,566,"1,608",
14,5037254495437034,7799872068,24年05月23日 18:52,"回复<a href=/n/单纯想改名了 usercard=""name=@单纯想改名了"">@单纯想改名了</a>:她是友军你怼她做什么，，<img alt=""[老师好]"" title=""[老师好]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/0d/2022_Teacher_org.png"" /><img alt=""[老师好]"" title=""[老师好]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/0d/2022_Teacher_org.png"" />",来自福建,5037267192121969,0,回复@单纯想改名了:她是友军你怼她做什么，，[老师好][老师好],5138842758,typedef_null5,https://weibo.com/u/5138842758,妈妈 人生是狗屎啊🥺,其他,m,1349,1357,1852,"9,569","1,203","12,027","22,799",娱乐博主
