,comments_level_1_mid,main_body_uid,发布时间,处理内容,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4552970345127597,2835496300,20年09月29日 00:50,"回复<a href=/n/春风拂面暖洋洋 usercard=""name=@春风拂面暖洋洋"">@春风拂面暖洋洋</a>:我发现你们怎么这么会yy呀 人家哪句话说人狗当爹了？你不识字？",4554294302344730,0,回复@春风拂面暖洋洋:我发现你们怎么这么会yy呀 人家哪句话说人狗当爹了？你不识字？,5517160030,天之将明cc,https://weibo.com/u/5517160030,赵大肥今天死了吗,浙江,f,43,677,636,3,2,37,42
1,4552970345127597,2835496300,20年09月27日 21:38,"回复<a href=/n/重金求子俱乐部会长 usercard=""name=@重金求子俱乐部会长"">@重金求子俱乐部会长</a>:以前？难道你们父母爷奶不是从以前过来的吗？你爷奶父母以前不吃狗肉？你说江西穷，你有江西有钱吗？不是江西的袁隆平的还不知道在哪个阴间捡屎吃。古人有云：狗眼看人低，怎么出了你这个认狗作父丢人现眼的狗东西",4553883462147379,1,回复@重金求子俱乐部会长:以前？难道你们父母爷奶不是从以前过来的吗？你爷奶父母以前不吃狗肉？你说江西穷，你有江西有钱吗？不是江西的袁隆平的还不知道在哪个阴间捡屎吃。古人有云：狗眼看人低，怎么出了你这个认狗作父丢人现眼的狗东西,7440528164,春风拂面暖洋洋,https://weibo.com/u/7440528164,,江西,m,32,62,145,108,70,288,466
2,4552970345127597,2835496300,20年09月27日 21:28,"回复<a href=/n/春风拂面暖洋洋 usercard=""name=@春风拂面暖洋洋"">@春风拂面暖洋洋</a>:老提以前你们活在清朝吗，现在还不是穷乡僻壤杀妻教育水平低吗，出了你这么个狗东西丢人现眼",4553880953958897,0,回复@春风拂面暖洋洋:老提以前你们活在清朝吗，现在还不是穷乡僻壤杀妻教育水平低吗，出了你这么个狗东西丢人现眼,7415216233,永遠的尹雪艷,https://weibo.com/u/7415216233,尹雪艳总也不老,其他,f,160,580,3419,"2,648",122,"3,026","5,796"
3,4552970345127597,2835496300,20年09月27日 21:02,"回复<a href=/n/重金求子俱乐部会长 usercard=""name=@重金求子俱乐部会长"">@重金求子俱乐部会长</a>:哈哈哈哈哈哈，江西将军最多全国第一名，你们以前不也来江西要过饭吗？江西是个好地方，没有狗奴人性化的省，你们就羡慕嫉妒吧",4553874385930958,0,回复@重金求子俱乐部会长:哈哈哈哈哈哈，江西将军最多全国第一名，你们以前不也来江西要过饭吗？江西是个好地方，没有狗奴人性化的省，你们就羡慕嫉妒吧,7440528164,春风拂面暖洋洋,https://weibo.com/u/7440528164,,江西,m,32,62,145,108,70,288,466
4,4552970345127597,2835496300,20年09月27日 20:55,"回复<a href=/n/春风拂面暖洋洋 usercard=""name=@春风拂面暖洋洋"">@春风拂面暖洋洋</a>:江西人啊，那没事了，家穷人蠢那是常事。",4553872804428191,0,回复@春风拂面暖洋洋:江西人啊，那没事了，家穷人蠢那是常事。,7415216233,永遠的尹雪艷,https://weibo.com/u/7415216233,尹雪艳总也不老,其他,f,160,580,3419,"2,648",122,"3,026","5,796"
5,4552970345127597,2835496300,20年09月27日 20:13,"回复<a href=/n/重金求子俱乐部会长 usercard=""name=@重金求子俱乐部会长"">@重金求子俱乐部会长</a>:你爸妈是狗吗？你狗爸狗妈的坟被刨了",4553862147483526,0,回复@重金求子俱乐部会长:你爸妈是狗吗？你狗爸狗妈的坟被刨了,7440528164,春风拂面暖洋洋,https://weibo.com/u/7440528164,,江西,m,32,62,145,108,70,288,466
6,4552970345127597,2835496300,20年09月26日 11:18,"回复<a href=/n/春风拂面暖洋洋 usercard=""name=@春风拂面暖洋洋"">@春风拂面暖洋洋</a>:你妈坟是被狗刨了吗？",4553365135297171,0,回复@春风拂面暖洋洋:你妈坟是被狗刨了吗？,7415216233,永遠的尹雪艷,https://weibo.com/u/7415216233,尹雪艳总也不老,其他,f,160,580,3419,"2,648",122,"3,026","5,796"
7,4552970345127597,2835496300,20年09月25日 22:54,"回复<a href=/n/春风拂面暖洋洋 usercard=""name=@春风拂面暖洋洋"">@春风拂面暖洋洋</a>:不要 我把你肉饺了包饺子吃 <img alt=""[可怜]"" title=""[可怜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/96/2018new_kelian_org.png"" />",4553178005113241,0,回复@春风拂面暖洋洋:不要 我把你肉饺了包饺子吃 [可怜],5526803041,我好钟意磊啊,https://weibo.com/u/5526803041,磊好啊 本人各个平台用户同名：我好钟意磊啊 （请勿搬运 如搬运请告知出处 ）,浙江 温州,f,680,234,876,518,509,"20,589","21,616"
8,4552970345127597,2835496300,20年09月25日 22:39,"回复<a href=/n/阿青啊Qing usercard=""name=@阿青啊Qing"">@阿青啊Qing</a>:好乖，等下买棒棒糖给乖乖你吃",4553174167330262,0,回复@阿青啊Qing:好乖，等下买棒棒糖给乖乖你吃,7440528164,春风拂面暖洋洋,https://weibo.com/u/7440528164,,江西,m,32,62,145,108,70,288,466
9,4552970345127597,2835496300,20年09月25日 21:57,"回复<a href=/n/春风拂面暖洋洋 usercard=""name=@春风拂面暖洋洋"">@春风拂面暖洋洋</a>:你爸爸",4553163485220546,0,回复@春风拂面暖洋洋:你爸爸,5526803041,我好钟意磊啊,https://weibo.com/u/5526803041,磊好啊 本人各个平台用户同名：我好钟意磊啊 （请勿搬运 如搬运请告知出处 ）,浙江 温州,f,680,234,876,518,509,"20,589","21,616"
10,4552970345127597,2835496300,20年09月25日 21:20,"回复<a href=/n/阿青啊Qing usercard=""name=@阿青啊Qing"">@阿青啊Qing</a>:狗奴？",4553154224723314,0,回复@阿青啊Qing:狗奴？,7440528164,春风拂面暖洋洋,https://weibo.com/u/7440528164,,江西,m,32,62,145,108,70,288,466
11,4552970345127597,2835496300,20年09月25日 10:54,垃圾 滚,4552996635290025,1,垃圾 滚,5526803041,我好钟意磊啊,https://weibo.com/u/5526803041,磊好啊 本人各个平台用户同名：我好钟意磊啊 （请勿搬运 如搬运请告知出处 ）,浙江 温州,f,680,234,876,518,509,"20,589","21,616"
